Avenue Maurice Dekeyser,Maurice Dekeyserlaan,M
Avenue Maurice Maeterlinck,Maurice Maeterlincklaan,M
Avenue Maurice Van Hemelrijck,Maurice Van Hemelrijcklaan,M
Avenue Maxe Smal,Maxe Smallaan,M
Avenue Maxime Van Praag,Maxime Van Praaglaan,M
Avenue Michel de Ghelderode,Michel de Ghelderodelaan,M
Avenue Michel Sterckmans,Michel Sterckmanslaan,M
Avenue Michel-Ange,Michel Angelolaan,M
Avenue Milcamps,Milcampslaan,M
Avenue Minerve,Minervalaan,F
Avenue Molière,Molièrelaan,M
Avenue Montgolfier,Montgolfierlaan,M
Avenue Mozart,Mozartlaan,M
Avenue Napoléon,Napoléonlaan,M
Avenue Nellie Melba,Nellie Melbalaan,F
Avenue Neptune,Neptunuslaan,M
Avenue Nestor Plissart,Nestor Plissartlaan,M
Avenue Norbert Gille,Norbert Gillelaan,M
Avenue Notre-Dame,Onze Lieve Vrouwlaan,F
Avenue Notre-Dame de Fatima,Onze Lieve-Vrouw van Fatimalaan,F
Avenue Notre-Dame de Lourdes,Onze-Lieve-Vrouw Van Lourdeslaan,F
Avenue Odon Warland,Odon Warlandlaan,M
Avenue Orion,Orionlaan,M
Avenue Oscar Jespers,Oscar Jesperslaan,M
Avenue Oscar Van Goidtsnoven,Oscar Van Goidtsnovenlaan,M
Avenue Palmerston,Palmerstonlaan,M
Avenue Paul De Merten,Paul De Mertenlaan,M
Avenue Paul Dejaer,Paul Dejaerlaan,M
Avenue Paul Deschanel,Paul Deschanellaan,M
Avenue Paul Gilson,Paul Gilsonlaan,M
Avenue Paul Héger,Paul Hégerlaan,M
Avenue Paul Hymans,Paul Hymanslaan,M
Avenue Paul Janson,Paul Jansonlaan,M
Avenue Paul Stroobant,Paul Stroobantlaan,M
Avenue Paul Vanden Thoren,Paul Vanden Thorenlaan,M
Avenue Paul Verheyleweghen,Paul Verheyleweghenlaan,M
Avenue Paule,Paulalaan,F
Avenue Paul-Henri Spaak,Paul-Henri Spaaklaan,M
Avenue Pénélope,Penelopelaan,F
Avenue Père Agnello,Pater Agnellolaan,M
Avenue Père Damien,Pater Damiaanlaan,M
Avenue Père Hilaire,Pater Hilariuslaan,M
Avenue Philippe Thomas,Philippe Thomaslaan,M
Avenue Pierre Beyst,Pierre Beystlaan,M
Avenue Pierre Devis,Pierre Devislaan,M
Avenue Pierre d'Union,Pierre d'Unionlaan,M
Avenue Pierre Vander Biest,Pierre Vander Biestlaan,M
Avenue Pieter Goedefroy,Pieter Goedefroylaan,M
Avenue Platon,Platolaan,M
Avenue Prince Baudouin,Prins Boudewijnlaan,M
Avenue Prince de Ligne,Prins de Lignelaan,M
Avenue Princesse Elisabeth,Prinses Elisabethlaan,F
Avenue Prudent Bols,Prudent Bolslaan,M
Avenue Ptolémée,Ptolemeelaan,M
Avenue Raymond de Meester,Raymond de Meesterlaan,M
Avenue Raymond Foucart,Raymond Foucartlaan,M
Avenue Raymond Vander Bruggen,Raymond Vander Bruggenlaan,M
Avenue Reinaert de Vos,Reinaert de Voslaan,M
Avenue Reine Astrid,Koningin Astridlaan,F
Avenue Reine Elisabeth,Koningin Elisabethlaan,F
Avenue Reine Marie-Henriette,Koningin Maria-Henriettalaan,F
Avenue René Berrewaerts,René Berrewaertslaan,M
Avenue René Comhaire,René Comhairelaan,M
Avenue René Coulbaut,René Coulbautlaan,M
Avenue René Gobert,René Gobertlaan,M
Avenue René Lyr,René Lyrlaan,M
Avenue René Piret,René Piretlaan,M
Avenue René Stevens,René Stevenslaan,M
Avenue Richard Mazza,Richard Mazzalaan,M
Avenue Richard Neybergh,Richard Neyberghlaan,M
Avenue Robert Dalechamp,Robert Dalechamplaan,M
Avenue Roger Hainaut,Roger Hainautlaan,M
Avenue Roger Lallemand,Roger Lallemandlaan,M
Avenue Roger Vandendriessche,Roger Vandendriesschelaan,M
Avenue Rogier,Rogierlaan,M
Avenue Romain Rolland,Romain Rollandlaan,M
Avenue Saint-Augustin,Sint-Augustinuslaan,M
Avenue Sainte-Alix,Sinte-Aleidislaan,F
Avenue Sainte-Anne,Sint-Annalaan,F
Avenue Saint-Jean,Sint-Janslaan,M
Avenue Secrétin,Secrétinlaan,M
Avenue Seghers,Segherslaan,M
Avenue Simone Veil,Simone Veillaan,F
Avenue Sleeckx,Sleeckxlaan,M
Avenue Stiénon,Stiénonlaan,M
Avenue Stuart Merrill,Stuart Merrilllaan,M
Avenue Tedesco,Tedescolaan,M
Avenue Télémaque,Telemachuslaan,M
Avenue Théo Vanpé,Théo Vanpélaan,M
Avenue Théo Verbeeck,Théo Verbeecklaan,M
Avenue Thiriar,Thiriarlaan,M
Avenue Thomas Frissen,Thomas Frissenlaan,M
Avenue Tolstoï,Tolstoïlaan,M
Avenue Ulysse,Ulysselaan,M
